id,subject_uid,question,option_a,option_b,option_c,option_d,correct_answer
1,1,"Lập trình là gì?","Viết văn bản","Ra lệnh cho máy tính","Thiết kế phần cứng","Lướt web","b"
2,1,"Ngôn ngữ lập trình dùng để làm gì?","Trang trí giao diện","Giao tiếp với máy tính","Quản lý mạng","Lưu trữ dữ liệu","b"
3,1,"Thuật toán là gì?","Một thiết bị","Một dãy bước giải quyết vấn đề","Một phần mềm","Một ngôn ngữ","b"
4,1,"Biến trong lập trình dùng để làm gì?","Lưu dữ liệu","Kết nối mạng","Hiển thị web","Bảo mật","a"
5,1,"Lỗi cú pháp là lỗi gì?","Sai logic","Sai quy tắc ngôn ngữ","Máy yếu","Mạng chậm","b"
6,1,"IDE là gì?","Hệ điều hành","Môi trường lập trình","Ngôn ngữ","Trình duyệt","b"
7,1,"Input là gì?","Kết quả","Dữ liệu đầu vào","Biến","Hàm","b"
8,1,"Output là gì?","Dữ liệu nhập","Kết quả chương trình","Thuật toán","Biến","b"
9,1,"Debug dùng để làm gì?","Viết code","Sửa lỗi","Chạy chương trình","Xóa file","b"
10,1,"Lập trình viên là ai?","Người viết chương trình","Người sửa máy","Người dùng máy","Người thiết kế mạng","a"
11,2,"Python là gì?","Ngôn ngữ lập trình","Hệ điều hành","CSDL","Framework","a"
12,2,"Python thuộc kiểu ngôn ngữ nào?","Thông dịch","Biên dịch","Máy","Assembly","a"
13,2,"Kiểu dữ liệu nào là số nguyên?","float","int","string","list","b"
14,2,"Dùng print() để làm gì?","Nhập dữ liệu","In dữ liệu","Khai báo biến","Tạo hàm","b"
15,2,"List trong Python dùng để làm gì?","Lưu nhiều giá trị","Lặp","Điều kiện","Hàm","a"
16,2,"Tuple có đặc điểm gì?","Có thể thay đổi","Không thay đổi","Chứa key","Không lưu được","b"
17,2,"If dùng để làm gì?","Lặp","Rẽ nhánh","In","Kết thúc","b"
18,2,"For dùng để làm gì?","Rẽ nhánh","Lặp","So sánh","In","b"
19,2,"Lỗi runtime xảy ra khi nào?","Khi viết code","Khi chạy chương trình","Khi lưu file","Khi import","b"
20,2,"Python thường dùng trong lĩnh vực nào?","AI","Web","Data","Tất cả","d"
21,3,"Cấu trúc dữ liệu là gì?","Cách lưu trữ dữ liệu","Ngôn ngữ","Hệ điều hành","Thiết bị","a"
22,3,"Stack hoạt động theo nguyên tắc nào?","FIFO","LIFO","Random","Queue","b"
23,3,"Queue hoạt động theo nguyên tắc nào?","LIFO","FIFO","Stack","Tree","b"
24,3,"Array dùng để làm gì?","Lưu nhiều giá trị","Tính toán","In","So sánh","a"
25,3,"Linked List khác Array ở điểm nào?","Kích thước cố định","Cấp phát động","Không lưu dữ liệu","Chậm hơn","b"
26,3,"Thuật toán là gì?","Một chương trình","Một dãy bước","Một CSDL","Một ngôn ngữ","b"
27,3,"Độ phức tạp dùng để làm gì?","Đo bộ nhớ","Đo hiệu năng","Đo tốc độ mạng","Đo CPU","b"
28,3,"Big O dùng để làm gì?","Đo bộ nhớ","Đánh giá thuật toán","Viết code","Debug","b"
29,3,"Binary Search yêu cầu gì?","Danh sách ngẫu nhiên","Danh sách đã sắp xếp","Danh sách rỗng","Danh sách lớn","b"
30,3,"Sorting dùng để làm gì?","Tìm kiếm","Sắp xếp dữ liệu","Xóa dữ liệu","In dữ liệu","b"
31,4,"Cơ sở dữ liệu dùng để làm gì?","Lưu trữ dữ liệu","Thiết kế giao diện","Lập trình","Vẽ sơ đồ","a"
32,4,"SQL dùng để làm gì?","Lập trình","Truy vấn CSDL","Thiết kế UI","Chạy server","b"
33,4,"Bảng trong CSDL dùng để làm gì?","Chứa dữ liệu","Chạy code","Kết nối mạng","Bảo mật","a"
34,4,"Primary Key là gì?","Khóa chính","Khóa ngoại","Cột thường","Hàm","a"
35,4,"Foreign Key dùng để làm gì?","Tăng tốc","Liên kết bảng","Xóa dữ liệu","Backup","b"
36,4,"SELECT dùng để làm gì?","Xóa","Thêm","Truy vấn","Cập nhật","c"
37,4,"INSERT dùng để làm gì?","Truy vấn","Thêm dữ liệu","Xóa","Update","b"
38,4,"DELETE dùng để làm gì?","Xóa dữ liệu","Truy vấn","Thêm","Tạo bảng","a"
39,4,"WHERE dùng để làm gì?","Lọc dữ liệu","Sắp xếp","Nhóm","Join","a"
40,4,"CSDL quan hệ lưu dữ liệu dạng gì?","Bảng","File","Ảnh","JSON","a"
41,5,"HTML dùng để làm gì?","Thiết kế giao diện","Lập trình backend","Quản lý CSDL","Bảo mật","a"
