id,name,target,equipment,image,difficulty,bodyPart,description,video
1,Barbell Squat,Legs / Quads / Glutes,Barbell,1.barbell-squat.png,Intermediate,Legs,1. Place barbell on shoulders behind neck. 2. Squat down keeping back straight. 3. Push up to starting position.,https://www.youtube.com/watch?v=aclHkVaku9U
2,Dumbbell Bench Press,Chest,Dumbbell / Bench,2.Dumbbell-Bench-Press.png,Intermediate,Chest,1. Lie on bench with dumbbells in hand. 2. Lower dumbbells to chest. 3. Press up until arms extended.,https://www.youtube.com/watch?v=VmB1G1K7v94
3,Barbell Deadlift,Back / Hamstrings / Glutes,Barbell,3.Barbell-Deadlift.png,Advanced,Back,1. Stand with feet hip-width apart. 2. Grip barbell and lift with straight back. 3. Lower slowly.,https://www.youtube.com/watch?v=op9kVnSso6Q
4,Seated Cable Row,Back / Lats,Cable Machine,https://i.imgur.com/Cw3AvvL.gif,Intermediate,Back,1. Sit and hold cable handles. 2. Pull handles towards abdomen. 3. Slowly release.,https://www.youtube.com/watch?v=GZbfZ033f74
5,Lat Pulldown,Back / Lats,Cable Machine,https://i.imgur.com/M3Q8N7V.gif,Intermediate,Back,1. Sit at lat pulldown machine. 2. Pull bar down to chest. 3. Return slowly.,https://www.youtube.com/watch?v=CAwf7n6Luuc
6,Dumbbell Shoulder Press,Shoulders,Dumbbell,https://i.imgur.com/bHMH4SH.gif,Intermediate,Shoulders,1. Sit upright holding dumbbells. 2. Press above head. 3. Lower slowly.,https://www.youtube.com/watch?v=B-aVuyhvLHU
7,Leg Press,Legs / Quads,Leg Press Machine,https://i.imgur.com/wwgqg8P.gif,Intermediate,Legs,1. Sit on leg press machine. 2. Push platform with feet. 3. Slowly return.,https://www.youtube.com/watch?v=IZxyjW7MPJQ
8,Cable Tricep Pushdown,Triceps,Cable Machine,https://i.imgur.com/61n58Ku.gif,Beginner,Arms,1. Stand facing cable. 2. Push bar down until arms extended. 3. Return slowly.,https://www.youtube.com/watch?v=2-LAMcpzODU
9,Dumbbell Bicep Curl,Biceps,Dumbbell,https://i.imgur.com/9KH3v1v.gif,Beginner,Arms,1. Hold dumbbells with arms down. 2. Curl up. 3. Lower slowly.,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
10,Smith Machine Squat,Legs / Quads / Glutes,Smith Machine,https://i.imgur.com/xmxd3J.gif,Intermediate,Legs,1. Position bar on shoulders. 2. Squat down. 3. Push back up.,https://www.youtube.com/watch?v=YVgIMjyKw6M
