id,subject_id,order,title,knowledge,expected_outcome
1,1,1,Tư duy lập trình,Khái niệm thuật toán và logic,Hiểu cách giải quyết bài toán bằng tư duy lập trình
2,1,2,Ngôn ngữ lập trình,Các ngôn ngữ phổ biến hiện nay,Phân biệt được các ngôn ngữ lập trình
3,1,3,Cấu trúc cơ bản,Biến điều kiện vòng lặp,Viết chương trình đơn giản
4,1,4,Ứng dụng CNTT,Ứng dụng CNTT trong đời sống,Định hướng chuyên ngành phù hợp
5,2,1,Cú pháp Python,Kiểu dữ liệu và biến,Viết chương trình Python cơ bản
6,2,2,Cấu trúc điều khiển,If else vòng lặp,Giải quyết bài toán logic
7,2,3,Hàm và module,Hàm và thư viện Python,Tổ chức code hiệu quả
8,2,4,Thực hành Python,Bài tập lập trình cơ bản,Tự viết chương trình hoàn chỉnh
9,3,1,Cấu trúc tuyến tính,Mảng danh sách,Thao tác dữ liệu hiệu quả
10,3,2,Stack và Queue,LIFO FIFO,Áp dụng trong bài toán thực tế
11,3,3,Cây nhị phân,Cấu trúc cây và duyệt cây,Hiểu dữ liệu phân cấp
12,3,4,Đồ thị,BFS DFS,Giải quyết bài toán mạng
13,3,5,Độ phức tạp thuật toán,O lớn,Phân tích hiệu năng chương trình
14,4,1,Mô hình dữ liệu,ERD và quan hệ,Thiết kế cơ sở dữ liệu
15,4,2,SQL cơ bản,Select Insert Update,Truy vấn dữ liệu
16,4,3,Chuẩn hóa dữ liệu,Normal Form,Thiết kế CSDL tối ưu
17,4,4,Ứng dụng CSDL,Kết nối DB với ứng dụng,Xây dựng hệ thống lưu trữ
18,5,1,HTML,Cấu trúc website,Tạo trang web tĩnh
19,5,2,CSS,Giao diện và responsive,Thiết kế web đẹp
20,5,3,JavaScript,Tương tác web,Tạo web động
21,5,4,Dự án Web,Xây website cơ bản,Hoàn thiện website cá nhân
22,6,1,Kiến trúc Backend,Client Server,Hiểu hệ thống backend
23,6,2,API REST,HTTP Method,Xây dựng API
24,6,3,Xử lý dữ liệu,Database backend,Lưu trữ dữ liệu
25,6,4,Bảo mật backend,Auth phân quyền,Xây hệ thống an toàn
26,7,1,React cơ bản,Component state,Xây giao diện động
27,7,2,Routing SPA,Điều hướng ứng dụng,Xây web hiện đại
28,7,3,API integration,Kết nối backend,Ứng dụng hoàn chỉnh
29,7,4,UI UX,Trải nghiệm người dùng,Giao diện thân thiện
30,8,1,Mô hình OSI,7 tầng mạng,Hiểu luồng dữ liệu
31,8,2,Giao thức mạng,TCP IP HTTP,Phân tích Internet
